s;i(rlast);i(rshunt);ic(t1);ic(t2);time;v(uin);v(uout)
4,29715464633773E-6;0,0424304753541946;0,000258570944424719;0,0465426668524742;0,00437114248052239;4,29715464633773E-6;0,266729712486267;0,254582852125168
5,14511475557811E-6;0,0509884878993034;0,000308197923004627;0,0543257109820843;0,00363759743049741;5,14511475557811E-6;0,317675590515137;0,305930942296982
5,98825226916233E-6;0,059347677975893;0,000358157936716452;0,0620874762535095;0,00308896880596876;5,98825226916233E-6;0,367438137531281;0,356086075305939
7,67452729633078E-6;0,0755468904972076;0,000458078022347763;0,0774202719330788;0,002331379102543;7,67452729633078E-6;0,463733673095703;0,453281342983246
9,27213932300219E-6;0,0900825709104538;0,00055155879817903;0,0913982540369034;0,00186700536869466;9,27213932300219E-6;0,550184965133667;0,540495455265045
1,1272139090579E-5;0,106998711824417;0,000664135441184044;0,107815384864807;0,00148111348971725;1,1272139090579E-5;0,650505185127258;0,641992270946503
1,32721397676505E-5;0,122209347784519;0,000770272745285183;0,122664868831635;0,00122589513193816;1,32721397676505E-5;0,740566551685333;0,733256101608276
1,52721386257326E-5;0,13550528883934;0,000865973939653486;0,135690435767174;0,00105137506034225;1,52721386257326E-5;0,818948805332184;0,813031733036041
1,72721393028041E-5;0,146657779812813;0,000948796572629362;0,146669238805771;0,000930607842747122;1,72721393028041E-5;0,884415686130524;0,879946649074554
1,92721399798756E-5;0,155509620904922;0,00101540994364768;0,155366808176041;0,000848260067868978;1,92721399798756E-5;0,935934841632843;0,93305766582489
2,12721388379578E-5;0,161914363503456;0,00106492592021823;0,161664932966232;0,000794813502579927;2,12721388379578E-5;0,972693741321564;0,971486210823059
2,32721395150293E-5;0,165769934654236;0,0010942358057946;0,16545881330967;0,000764823518693447;2,32721395150293E-5;0,994112610816956;0,994619607925415
2,52721401921008E-5;0,167021408677101;0,00110356172081083;0,166690498590469;0,000755399698391557;2,52721401921008E-5;0,999853789806366;1,00212848186493
2,72721390501829E-5;0,165639907121658;0,00109179329592735;0,165330827236176;0,000765743025112897;2,72721390501829E-5;0,989826679229736;0,993839502334595
2,92721397272544E-5;0,161653429269791;0,00105959689244628;0,161390691995621;0,000796874053776264;2,92721397272544E-5;0,964189410209656;0,969920575618744
3,12721385853365E-5;0,155119314789772;0,00100763840600848;0,154980525374413;0,00085150107042864;3,12721385853365E-5;0,923346281051636;0,93071585893631
3,3272139262408E-5;0,146148189902306;0,000938138458877802;0,146165013313293;0,000935464864596724;3,3272139262408E-5;0,867941439151764;0,876889109611511
3,52721399394795E-5;0,134869143366814;0,000853317440487444;0,135074287652969;0,00105853413697332;3,52721399394795E-5;0,798848688602447;0,80921483039856
3,7272140616551E-5;0,121475376188755;0,000755395740270615;0,121955998241901;0,00123626657295972;3,7272140616551E-5;0,717157542705536;0,728852272033691
3,92721376556437E-5;0,106174416840076;0,000647704117000103;0,107023008167744;0,00149656762368977;3,92721376556437E-5;0,624156415462494;0,63704651594162
4,12721383327153E-5;0,0892127752304077;0,000533573213033378;0,0905692726373672;0,00189011648762971;4,12721383327153E-5;0,52131199836731;0,535276651382446
4,32721390097868E-5;0,0708660706877708;0,0004154454509262;0,0729681998491287;0,00251769670285285;4,32721390097868E-5;0,410246133804321;0,425196409225464
4,52721396868583E-5;0,0514338873326778;0,000296651589451358;0,0547411032021046;0,00360410008579493;4,52721396868583E-5;0,292710483074188;0,308603346347809
4,72721403639298E-5;0,031253844499588;0,000180411239853129;0,0367948077619076;0,00572126219049096;4,72721403639298E-5;0,170558586716652;0,187523066997528
4,75221386295743E-5;0,0286953002214432;0,000165978344739415;0,0346485152840614;0,00611817743629217;4,75221386295743E-5;0,15506038069725;0,172171801328659
4,80221387988422E-5;0,0235787909477949;0,000137889699544758;0,030483890324831;0,00704253045842051;4,80221387988422E-5;0,123953029513359;0,141472741961479
4,9022139137378E-5;0,0132883749902248;8,29336568131112E-5;0,0227982550859451;0,00959277153015137;4,9022139137378E-5;0,0614021494984627;0,079730249941349
5,02747352584265E-5;0,000367261643987149;1,65423225553241E-5;0,014998696744442;0,0146480854600668;5,02747352584265E-5;-0,0172611996531486;0,00220356998033822
5,13575723743998E-5;-0,0110036879777908;-3,93018963222858E-5;0,0102047650143504;0,021169301122427;5,13575723743998E-5;-0,0851953327655792;-0,066022127866745
5,26588191860355E-5;-0,0248358063399792;-0,000104749538877513;0,00660482281818986;0,0313359797000885;5,26588191860355E-5;-0,166282638907433;-0,149014845490456
5,34196915396024E-5;-0,0327084548771381;-0,000141553435241804;0,00529605243355036;0,0378631167113781;5,34196915396024E-5;-0,213216036558151;-0,196250721812248
5,43862406630069E-5;-0,0426261350512505;-0,000188959951628931;0,00412033451721072;0,0465574413537979;5,43862406630069E-5;-0,27212005853653;-0,255756795406342
5,55250480829272E-5;-0,0541127100586891;-0,000244526629103348;0,00318214786238968;0,0570503622293472;5,55250480829272E-5;-0,340218305587769;-0,324676275253296
5,66777634958271E-5;-0,0653684884309769;-0,000301147985737771;0,00253832968883216;0,0676056817173958;5,66777634958271E-5;-0,407373487949371;-0,392210930585861
5,78378821955994E-5;-0,0763990134000778;-0,000357935903593898;0,00207582535222173;0,078134573996067;5,78378821955994E-5;-0,472802609205246;-0,458394080400467
5,91603966313414E-5;-0,0884193778038025;-0,000422273325966671;0,00169883097987622;0,0897175818681717;5,91603966313414E-5;-0,544308602809906;-0,530516266822815
