s;i(rlast);i(rshunt);ic(t1);ic(t2);time;v(uin);v(uout)
0;-2,46397835538788E-14;-5,07499917402356E-15;1,51138528775574E-11;1,50841387991374E-11;0;0;1,47838704711405E-13
2,00000002337219E-7;-7,330886546697E-7;8,18572630123526E-7;-5,58005943673834E-8;2,95659638993584E-8;2,00000002337219E-7;0,00125663669314235;4,3985319280182E-6
4,00000004674439E-7;-7,36086121833068E-7;8,21825267394161E-7;-5,5808971666238E-8;2,95668396432802E-8;4,00000004674439E-7;0,00251327152363956;4,41651673099841E-6
8,00000009348878E-7;-7,36772960863163E-7;8,2225892583665E-7;-5,58125208272031E-8;2,95643349801367E-8;8,00000009348878E-7;0,00502652721479535;4,42063765149214E-6
1,60000001869776E-6;-7,3742080530792E-7;8,20524178379856E-7;-5,58147412732524E-8;2,9561157077751E-8;1,60000001869776E-6;0,010052926838398;4,42452483184752E-6
3,20000003739551E-6;-7,39415611406002E-7;8,29197801976989E-7;-5,58190897947952E-8;2,9550372815379E-8;3,20000003739551E-6;0,0201048385351896;4,43649378212285E-6
6,40000007479102E-6;-7,42616464322055E-7;8,39606173030916E-7;-5,58080195389721E-8;2,95228286262272E-8;6,40000007479102E-6;0,040201548486948;4,45569867224549E-6
1,2800000149582E-5;-7,49465925764525E-7;8,32667240047158E-7;-5,57253514443801E-8;2,94321633731442E-8;1,2800000149582E-5;0,0803380981087685;4,49679555458715E-6
2,56000002991641E-5;-7,61802823490143E-7;8,60422858295351E-7;-5,5263100762204E-8;2,91209669711634E-8;2,56000002991641E-5;0,160156846046448;4,5708170546277E-6
4,5600001612911E-5;-7,92607977473381E-7;8,32667240047158E-7;-4,88026081768567E-8;2,82573076049175E-8;4,5600001612911E-5;0,282609343528748;4,75564775115345E-6
6,55999974696897E-5;-1,39662392939499E-6;9,99200665319222E-7;4,36425267480445E-7;2,6906141314953E-8;6,55999974696897E-5;0,400604903697968;8,3797440311173E-6
