s;i(rlast);i(rshunt);ic(t1);ic(t2);time;v(uin);v(uout)
0,00111988955177367;0,141806468367577;0,00100941478740424;0,140896752476692;2,1541111436818E-6;0,00111988955177367;0,948888063430786;0,945849120616913
0,00112088944297284;0,144642919301987;0,00103872467298061;0,143711715936661;1,87629188985738E-6;0,00112088944297284;0,966833114624023;0,964768290519714
0,00112188945058733;0,146905556321144;0,00106159527786076;0,145957380533218;1,66527979672537E-6;0,00112188945058733;0,980962574481964;0,979860126972199
0,00112288945820183;0,148591786623001;0,00107891473453492;0,147630840539932;1,52480015458423E-6;0,00112288945820183;0,991220593452454;0,991107165813446
0,00112388946581632;0,149691581726074;0,00109068304300308;0,148722574114799;1,42133535518951E-6;0,00112388946581632;0,997566699981689;0,998442828655243
0,00112488947343081;0,150204449892044;0,00109579018317163;0,149231746792793;1,37137931233156E-6;0,00112488947343081;0,999975919723511;1,00186359882355
0,00112588948104531;0,15012401342392;0,00109467993024737;0,149152427911758;1,34841752696957E-6;0,00112588948104531;0,998438656330109;1,00132715702057
0,0011268894886598;0,149453818798065;0,00108668627217412;0,148487731814384;1,3773745877188E-6;0,0011268894886598;0,99296098947525;0,996856987476349
0,00112788949627429;0,148192644119263;0,00107269745785743;0,147236824035645;1,43711997679929E-6;0,00112788949627429;0,983564555644989;0,988444924354553
0,00112888950388879;0,146347880363464;0,00105337961576879;0,145406618714333;1,5610405625921E-6;0,00112888950388879;0,97028648853302;0,976140320301056
0,00112988951150328;0,143928587436676;0,00102717836853117;0,143006429076195;1,73584601270704E-6;0,00112988951150328;0,953179121017456;0,960003733634949
0,00113088951911777;0,140940994024277;0,000995203969068825;0,140042036771774;2,00698127628129E-6;0,00113088951911777;0,932309985160828;0,940076410770416
0,00113188952673227;0,137395292520523;0,000957900425419211;0,136523827910423;2,37883728004817E-6;0,00113188952673227;0,907761454582214;0,916426599025726
0,00113288953434676;0,133313596248627;0,000914823787752539;0,132472097873688;2,92111008093343E-6;0,00113288953434676;0,879630446434021;0,889201641082764
0,00113388954196125;0,128701344132423;0,000867528258822858;0,127896293997765;3,67470920537016E-6;0,00113388954196125;0,848027884960175;0,858438014984131
0,00113488954957575;0,123588167130947;0,000814459635876119;0,122821666300297;4,76966397400247E-6;0,00113488954957575;0,813078582286835;0,824333071708679
0,00113588944077492;0,117986977100372;0,000757172121666372;0,117262803018093;6,33506761005265E-6;0,00113588944077492;0,774920403957367;0,786973178386688
0,00113688944838941;0,111918531358242;0,000696331902872771;0,111238121986389;8,6529635154875E-6;0,00113688944838941;0,733703970909119;0,746496617794037
0,0011378894560039;0,10541807860136;0,000631716917268932;0,104788705706596;1,20856866487884E-5;0,0011378894560039;0,689591944217682;0,703138589859009
0,0011388894636184;0,09850113093853;0,000563549227081239;0,0979249179363251;1,73148873727769E-5;0,0011388894636184;0,642758369445801;0,657002508640289
0,00113988947123289;0,0912028774619102;0,000492716964799911;0,0906844958662987;2,53797679761192E-5;0,00113988947123289;0,593388199806213;0,608323216438294
0,00114088947884738;0,0835525095462799;0,000419220217736438;0,0830981060862541;3,81175705115311E-5;0,00114088947884738;0,541676163673401;0,557295203208923
0,00114188948646188;0,0755816996097565;0,000343725056154653;0,0752005502581596;5,86295282118954E-5;0,00114188948646188;0,487826377153397;0,504129946231842
0,00114288949407637;0,0673336833715439;0,000266453513177112;0,0670339539647102;9,24493433558382E-5;0,00114288949407637;0,432051360607147;0,449115693569183
0,00114388950169086;0,0588470920920372;0,000188293823157437;0,0586572028696537;0,000149519313708879;0,00114388950169086;0,374571233987808;0,392510116100311
0,00114488950930536;0,0501953139901161;0,000109690037788823;0,050156407058239;0,000248043914325535;0,00114488950930536;0,315612852573395;0,334802746772766
0,00114588951691985;0,0414816811680794;3,13082891807426E-5;0,041667751967907;0,000421212695073336;0,00114588951691985;0,255408883094788;0,276682823896408
0,00114601454697549;0,0403836816549301;2,1316282072803E-5;0,0406059883534908;0,000450995692517608;0,00114601454697549;0,247807592153549;0,269359171390533
0,00114604574628174;0,0401074178516865;1,88737922144355E-5;0,0403392165899277;0,000458815193269402;0,00114604574628174;0,245904862880707;0,26751646399498
0,00114610826130956;0,0395574979484081;1,39888097692165E-5;0,0398085489869118;0,000474902655696496;0,00114610826130956;0,242096573114395;0,263848513364792
0,00114623329136521;0,0384459793567657;3,99680266127689E-6;0,0387380234897137;0,000509204168338329;0,00114623329136521;0,234468847513199;0,256434679031372
0,00114623596891761;0,0384223237633705;3,77475817003869E-6;0,0387151800096035;0,000509980833157897;0,00114623596891761;0,234305515885353;0,256276875734329
0,00114624132402241;0,0383751839399338;3,33066896018863E-6;0,038669791072607;0,000511527643539011;0,00114624132402241;0,2339788377285;0,255962461233139
0,0011462519178167;0,0382814481854439;2,44249054048851E-6;0,0385796613991261;0,00051461294060573;0,0011462519178167;0,233325406908989;0,255337238311768
0,0011462545953691;0,0382582023739815;2,22044604925031E-6;0,0385572835803032;0,000515383086167276;0,0011462545953691;0,23316203057766;0,255182206630707
0,0011462599504739;0,0382111333310604;1,77635683940025E-6;0,0385121293365955;0,000516908767167479;0,0011462599504739;0,23283526301384;0,254868268966675
0,00114626134745777;0,0381986051797867;1,66533448009432E-6;0,0385002978146076;0,000517271750140935;0,00114626134745777;0,232753559947014;0,2547847032547
0,00114626402501017;0,0381741337478161;1,55431223447522E-6;0,0384766571223736;0,000518046843353659;0,00114626402501017;0,232590168714523;0,254621475934982
0,00114626938011497;0,0381259247660637;1,11022302462516E-6;0,0384301841259003;0,000519592198543251;0,00114626938011497;0,23226335644722;0,254299908876419
0,00114627066068351;0,0381141826510429;9,99200665319222E-7;0,0384188145399094;0,000519994413480163;0,00114627066068351;0,232181638479233;0,254221618175507
0,00114627100992948;0,0381111353635788;9,99200665319222E-7;0,038415964692831;0,000520081899594516;0,00114627100992948;0,232161223888397;0,254201263189316
0,00114627170842141;0,038105133920908;9,99200665319222E-7;0,0384101942181587;0,000520285509992391;0,00114627170842141;0,232120364904404;0,254161238670349
0,00114627182483673;0,0381036289036274;8,88178419700125E-7;0,0384087637066841;0,000520329282153398;0,00114627182483673;0,232110142707825;0,254151195287704
0,00114627194125205;0,0381032638251781;8,88178419700125E-7;0,0384083837270737;0,000520349887665361;0,00114627194125205;0,232107594609261;0,254148781299591
0,00114627194125205;0,038102563470602;8,88178419700125E-7;0,0384076200425625;0,000520393426995724;0,00114627194125205;0,232102483510971;0,254144102334976
0,0011462721740827;0,0381011180579662;8,88178419700125E-7;0,0384062901139259;0,000520411238539964;0,0011462721740827;0,232092276215553;0,254134476184845
0,0011462721740827;0,0381007567048073;7,7715611723761E-7;0,038405891507864;0,000520437490195036;0,0011462721740827;0,232089713215828;0,254132062196732
0,00114627229049802;0,0380999743938446;7,7715611723761E-7;0,0384052805602551;0,000520426023285836;0,00114627229049802;0,2320846170187;0,254126816987991
0,00114627240691334;0,0380984805524349;8,88178419700125E-7;0,038403682410717;0,00052053015679121;0,00114627240691334;0,232074394822121;0,254116863012314
0,00114627275615931;0,0380957014858723;7,7715611723761E-7;0,0384009517729282;0,000520612928085029;0,00114627275615931;0,232053965330124;0,254098325967789
0,00114627287257463;0,0380948968231678;7,7715611723761E-7;0,038400299847126;0,000520610192324966;0,00114627287257463;0,232048869132996;0,254092961549759
0,00114627298898995;0,0380933247506618;7,7715611723761E-7;0,0383988432586193;0,000520666071679443;0,00114627298898995;0,232038646936417;0,254082471132278
